343	2944
344	2147
345	1446
346	1035
347	773
348	2325
349	1639
350	1300
351	863
352	2704
353	1947
354	1310
355	908
356	2910
357	1946
358	1495
359	998
360	2997
361	1986
362	1485
363	1074
364	682
365	2148
366	1596
367	1148
368	731
369	2154
370	1615
371	1044
372	654
373	2068
374	1380
375	1030
376	757
377	2475
378	1903
379	1387
380	1001
381	690
382	2147
383	1583
384	1128
385	797
386	2503
387	1762
388	1221
389	854
390	2697
391	1952
392	1370
393	973
394	3121
395	2255
396	1530
397	1161
398	737
399	2355
400	1722
401	1198
402	828
403	2615
404	1878
405	1431
406	918
407	2798
408	2009
409	1428
410	1020
411	772
412	2353
413	1688
414	1243
415	886
416	2674
417	1984
418	1458
419	1064
420	903
421	2771
422	1993
423	1607
424	1225
425	854
426	2667
427	1905
428	1460
429	1052
430	781
431	2470
432	1712
433	1352
434	1040
435	748
436	2419
437	1708
438	1249
439	833
440	2619
441	1830
442	1260
443	899
444	2927
445	2192
446	1662
447	1220
448	884
449	2859
450	1962
451	1361
452	1052
453	795
454	2513
455	1747
456	1252
457	938
458	3046
459	2234
460	1600
461	1175
462	867
463	2700
464	1883
465	1229
466	848
467	2757
468	2016
469	1507
470	1012
471	749
472	2394
473	1549
474	1032
475	715
476	2253
477	1671
478	1186
479	800
480	2533
481	1858
482	1298
483	911
484	3005
485	2165
486	1610
487	1076
488	734
489	2395
490	1629
491	1111
492	737
493	2205
494	1637
495	1176
496	768
497	2409
498	1794
499	1383
500	863
501	2902
502	2243
503	1671
504	1205
505	861
506	2680
507	1976
508	1349
509	1042
510	708
511	2145
512	1645
513	1233
514	898
515	2822
516	2123
517	1530
518	1084
519	760
520	2341
521	1769
522	1258
523	848
524	2661
525	1838
526	1296
527	873
528	2674
529	1963
530	1235
531	891
532	2862
533	2103
534	1395
535	1022
536	799
537	2565
538	1825
539	1297
540	867
541	2653
542	1842
543	1376
544	945
545	3036
546	2121
547	1484
548	990
549	3079
550	2030
551	1502
552	1100
553	747
554	2332
555	1662
556	1191
557	819
558	2528
559	1958
560	1427
561	994
562	3135
563	2237
564	1550
565	1039
566	739
567	2351
568	1599
569	1127
570	723
571	2204
572	1556
573	1123
574	897
575	2848
576	2094
577	1435
578	1003
579	726
580	2327
581	1601
582	1191
583	781
584	2423
585	1770
586	1315
587	925
588	3023
589	2140
590	1446
591	1001
592	775
593	2562
594	1914
595	1422
596	1057
597	752
598	2253
599	1592
600	1137
601	771
602	2374
603	1814
604	1329
605	879
606	2686
607	1979
608	1424
609	953
610	2980
611	2110
612	1579
613	1156
614	836
615	2604
616	1932
617	1423
618	982
619	3047
620	2236
621	1527
622	1177
623	906
624	2976
625	2142
626	1381
627	876
628	2795
629	2066
630	1519
631	975
632	3235
633	2358
634	1759
635	1281
636	964
637	3082
638	2319
639	1609
640	1208
641	887
642	2691
643	2002
644	1351
645	927
646	2858
647	2078
648	1451
649	1097
650	712
651	2257
652	1613
653	1150
654	958
655	3002
656	2082
657	1526
658	987
659	3200
660	2150
661	1530
662	1060
663	697
664	2202
665	1477
666	1132
667	733
668	2384
669	1670
670	1200
671	885
672	2796
673	1982
674	1359
675	962
676	3032
677	2130
678	1476
679	943
680	3044
681	2237
682	1661
683	1177
684	871
685	2609
686	1945
687	1389
688	991
689	3135
690	2277
691	1558
692	1069
693	782
694	2450
695	1834
696	1334
697	1009
698	732
699	2260
700	1795
701	1246
702	798
703	2567
704	1888
705	1396
706	953
707	3052
708	2223
709	1522
710	1144
711	865
712	2706
713	1889
714	1326
715	1021
716	717
717	2296
718	1722
719	1161
720	854
721	2687
722	1779
723	1306
724	899
725	2728
726	1945
727	1411
728	1018
729	579
730	1743
731	1198
732	933
733	2891
734	2067
735	1439
736	1069
737	790
738	2523
739	1740
740	1271
741	940
742	2999
743	2157
744	1518
745	1114
746	853
747	2654
748	1792
749	1284
750	894
751	2730
752	1849
753	1428
754	999
755	3017
756	2151
757	1471
758	1080
759	886
760	2821
761	1959
762	1534
763	1187
764	700
765	2207
766	1649
767	1203
768	726
769	2168
770	1335
771	995
772	3078
773	2024
774	1376
775	988
776	3140
777	2144
778	1484
779	996
780	3146
781	2358
782	1658
783	1228
784	862
785	2631
786	1990
787	1391
788	918
789	2704
790	2013
791	1384
792	1037
793	667
794	2201
795	1663
796	1233
797	939
798	2949
799	2210
800	1542
801	1108
802	851
803	2708
804	2011
805	1354
806	1014
807	740
808	2314
809	1697
810	1118
811	791
812	2472
813	1674
814	1132
815	816
816	2574
817	1767
818	1297
819	909
820	2924
821	2294
822	1681
823	1214
824	820
825	2557
826	1818
827	1264
828	910
829	3025
830	2336
831	1650
832	1102
833	773
834	2479
835	1705
836	1110
837	766
838	2418
839	1725
840	1191
841	866
842	2747
843	1922
844	1385
845	936
846	3029
847	2134
848	1551
849	1056
850	749
851	2335
852	1580
853	1093
854	744
855	2319
856	1671
857	1097
858	770
859	2382
860	1646
861	1133
862	766
863	2491
864	1858
865	1360
866	944
867	2988
868	2234
869	1550
870	1090
871	753
872	2392
873	1633
874	1018
875	703
876	2290
877	1510
878	994
879	3109
880	2344
881	1619
882	1160
883	901
884	2818
885	2046
886	1372
887	912
888	2867
889	2179
890	1528
891	1135
892	895
893	2746
894	1953
895	1447
896	1180
897	838
898	2621
899	1822
900	1298
901	930
902	3056
903	2275
904	1584
905	1184
906	825
907	2531
908	1890
909	1585
910	1206
911	808
912	2656
913	1866
914	1432
915	1084
916	804
917	2578
918	1833
919	1319
920	981
921	3159
922	2321
923	1698
924	1204
925	1018
926	722
927	2234
928	1609
929	1075
930	776
931	2511
932	1677
933	1303
934	865
935	2799
936	2070
937	1610
938	1149
939	903
940	2952
941	2116
942	1434
943	1039
944	722
945	2270
946	1602
947	1206
948	960
949	3059
950	2178
951	1613
952	1081
953	836
954	2606
955	1837
956	1342
957	1059
958	767
959	2395
960	1831
961	1301
962	881
963	2829
964	2138
965	1571
966	1148
967	905
968	2904
969	2239
970	1678
971	1204
972	987
973	3118
974	2349
975	1601
976	1203
977	963
978	3107
979	2141
980	1630
981	1177
982	936
983	2886
984	1998
985	1582
986	1178
987	796
988	2534
989	1756
990	1363
991	953
992	3064
993	2335
994	1649
995	1214
996	1009
997	727
998	2392
999	1733
1000	1237
1001	965
1002	3204
1003	2394
1004	1737
1005	1234
1006	854
1007	2672
1008	1914
1009	1268
1010	1049
1011	777
1012	2511
1013	1873
1014	1407
1015	1140
1016	852
1017	2787
1018	1921
1019	1442
1020	1045
1021	816
1022	2574
1023	1980
1024	1437
1025	1071
1026	805
1027	2566
1028	1866
1029	1406
1030	961
1031	3056
1032	2198
1033	1588
1034	1212
1035	960
1036	3067
1037	2313
1038	1766
1039	1384
1040	1087
1041	873
1042	2787
1043	2051
1044	1475
1045	1239
1046	974
1047	3021
1048	2312
1049	1659
1050	1342
1051	1017
1052	691
1053	2197
1054	1672
1055	1279
1056	996
1057	3221
1058	2310
1059	1743
1060	1293
1061	908
1062	2891
1063	2144
1064	1658
1065	1288
1066	943
1067	3015
1068	2146
1069	1568
1070	1212
1071	892
1072	2953
1073	2213
1074	1685
1075	1247
1076	874
1077	2793
1078	2117
1079	1570
1080	1130
1081	864
1082	2795
1083	2203
1084	1670
1085	1303
1086	1018
1087	804
1088	2682
1089	1952
1090	1505
1091	1130
1092	847
1093	2670
1094	2092
1095	1599
1096	1119
1097	806
1098	2582
1099	1886
1100	1347
1101	944
1102	2958
1103	2314
1104	1787
1105	1343
1106	906
1107	2854
1108	2166
1109	1630
1110	1224
1111	927
1112	2860
1113	1957
1114	1499
1115	1126
1116	892
1117	2821
1118	2116
1119	1572
1120	1166
1121	757
1122	2462
1123	1881
1124	1273
1125	915
1126	2935
1127	2267
1128	1699
1129	1177
1130	929
1131	2927
1132	2242
1133	1605
1134	1210
1135	920
1136	2972
1137	2235
1138	1558
1139	1241
1140	948
1141	2994
1142	2263
1143	1666
1144	1245
1145	960
1146	3023
1147	2237
1148	1600
1149	1082
1150	862
1151	2702
1152	2096
1153	1583
1154	1114
1155	832
1156	2692
1157	2098
1158	1595
1159	1195
1160	897
1161	2745
1162	2044
1163	1542
1164	1203
1165	949
1166	3094
